К;Тройник внутренний 50 мм, 45° двухраструбный;шт.;;78;;1;т;к;;00-00000194;;;закупка;21,6;;;;;;Тройник внутренний 50 мм, 45° двухраструбный;;;;;;;;;;;;
К;Тройник внутренний 50 мм, 87° двухраструбный;шт.;;78;;1;т;к;;00-00000195;;;закупка;21,6;;;;;;Тройник внутренний 50 мм, 87° двухраструбный;;;;;;;;;;;;
НК;Тройник наружный 110 мм, 45° двухраструбный;шт.;;163;;1;т;к;;00-00000196;;;закупка;79,05;;;;;;Тройник наружный 110 мм, 45° двухраструбный;;;;;;;;;;;;
НК;Тройник наружный 110 мм, 87° двухраструбный;шт.;;163;;1;т;к;;00-00000197;;;закупка;79,05;;;;;;Тройник наружный 110 мм, 87° двухраструбный;;;;;;;;;;;;
НК;Труба канализационная внутренняя 50х2000 мм;шт.;;188;;1;тр;к;;00-00000198;;;закупка;81,9;;;;;;Труба канализационная внутренняя 50х2000 мм;;;;;;;;;;;;
ВК;Труба канализационная внутренняя 50х500 мм;шт.;;72;;1;тр;к;;00-00000199;;;закупка;29,7;;;;;;Труба канализационная внутренняя 50х500 мм;;;;;;;;;;;;
ВК;Труба канализационная внутренняя110х2000мм;шт.;;314;;1;тр;к;;00-00000200;;;закупка;225;;;;;;Труба канализационная внутренняя110х2000мм;;;;;;;;;;;;
НК;Труба канализационная наружная 110х2000 мм;шт.;;357;;1;тр;к;;00-00000201;;;закупка;255;;;;;;Труба канализационная наружная 110х2000 мм;;;;;;;;;;;;
НК;Труба канализационная наружная 110х3000 мм;шт.;;529;;1;тр;к;;00-00000202;;;закупка;380,8;;;;;;Труба канализационная наружная 110х3000 мм;;;;;;;;;;;;
В;Труба ПНД (ПЭ-100) для систем водоснабжения 25 мм;м;;31;;1;тр;пнд;;00-00000203;;;закупка;22,2;;;;;;Труба ПНД (ПЭ-100) для систем водоснабжения 25 мм;;;;;;;;;;;;
НВ;Адаптер скважинный;шт.;;3 140;;1;;;;00-00000204;;;закупка;1410;;;;;;Адаптер скважинный;;;;;;;;;;;;
;Бак расширительный (гидроаккумулятор) горизонтальный 24 л;шт.;;1 523;;1;;;;00-00000205;;;закупка;990;;;;;;Бак расширительный (гидроаккумулятор) горизонтальный 24 л;;;;;;;;;;;;
В;Колодезный насос DAB Divertron 1000 М;шт.;;20 654;;1;;;;00-00000211;;;закупка;16153;;;;;;Колодезный насос DAB Divertron 1000 М;;;;;;;;;;;;
;Лента сантехническая ТПЛ 50 мм. Х 50 м.;шт.;;281;;1;;х;;00-00000214;;;закупка;262;;;;;;Лента сантехническая ТПЛ 50 мм. Х 50 м.;;;;;;;;;;;;
НВ;"Манометр аксиальный 1/4"" нар(ш) 6 бар d50 мм";шт.;;439;;1;;;;00-00000215;;;закупка;160;;;;;;"Манометр аксиальный 1/4"" нар(ш) 6 бар d50 мм";;;;;;;;;;;;
В;Муфта компрессионная 25 ПНД;шт.;;85;;1;м;пнд;;00-00000216;;;бух;71,34;;;;;;Муфта компрессионная 25 ПНД;;;;;;;;;;;;
В;Муфта компрессионная 40 ПНД;шт.;;132;;1;м;пнд;;00-00000217;;;бух;112;;;;;;Муфта компрессионная 40 ПНД;;;;;;;;;;;;
В;Муфта компрессионная латунная 25;шт.;;514;;1;м;пнд;латун;00-00000218;;;материал;359,8;;;;;;Муфта компрессионная латунная 25;;;;;;;;;;;;
В;Муфта компрессионная переходная 25 ПНД / 1/2 нар.;шт.;;45;;1;м;пнд;;00-00000220;;;бух;32;;;;;;Муфта компрессионная переходная 25 ПНД / 1/2 нар.;;;;;;;;;;;;
В;Муфта компрессионная переходная 25 ПНД / 3/4 внутр.;шт.;;53;;1;м;пнд;;00-00000221;;;бух;41,5;;;;;;Муфта компрессионная переходная 25 ПНД / 3/4 внутр.;;;;;;;;;;;;
В;Муфта компрессионная переходная 32 ПНД / 1'' нар.;шт.;;65;;1;м;пнд;;00-00000222;;;бух;47,5;;;;;;Муфта компрессионная переходная 32 ПНД / 1'' нар.;;;;;;;;;;;;
В;Муфта компрессионная переходная 40 ПНД / 1'' внутр.;шт.;;79;;1;м;пнд;;00-00000223;;;бух;61;;;;;;Муфта компрессионная переходная 40 ПНД / 1'' внутр.;;;;;;;;;;;;
В;Муфта компрессионная переходная 40 ПНД / 1-1/4'' нар.;шт.;;85;;1;м;пнд;;00-00000224;;;бух;61;;;;;;Муфта компрессионная переходная 40 ПНД / 1-1/4'' нар.;;;;;;;;;;;;
В;Муфта компрессионныя переходная 20 ПНД /1/2нар.;шт.;;32;;1;м;пнд;;00-00000225;;;материал;22,4;;;;;;Муфта компрессионныя переходная 20 ПНД /1/2нар.;;;;;;;;;;;;
В;Муфта компрессионныя переходная 32 ПНД / 3/4 внутр.;шт.;;65;;1;м;пнд;;00-00000226;;;бух;51;;;;;;Муфта компрессионныя переходная 32 ПНД / 3/4 внутр.;;;;;;;;;;;;
НВ;Реле давления;шт.;;578;;1;;;;00-00000228;;;закупка;310;;;;;;Реле давления;;;;;;;;;;;;
В;Насос скважинный Belamos tf3 40;шт.;;7 865;;1;;;;00-00000229;;;закупка;6050;;;;;;Насос скважинный Belamos tf3 40;;;;;;;;;;;;
