
00-00001903;Станция Genesis 500 L;шт.;1;208200;166560;Genesis;;8;;С;1300;Genesis;91608;21000;8500;13500;;1,5;1,08;2,85;4;2,7;4,851703911;9,463303911;;;;;8,5766;13,1882;800;
00-00001904;Станция Genesis 500 L ПР;шт.;1;223200;178560;Genesis;;8;;С;1300;Genesis;98208;21000;8500;13500;;1,5;1,08;2,85;4;2,7;4,851703911;9,463303911;;;;;8,5766;13,1882;800;
00-00001905;Станция Genesis 700;шт.;1;;;Genesis;;10;;С;800;Genesis;;21000;9500;14500;;1,7;1,35;2,35;5;3,5;5,078877231;9,413877231;;;;;9,37125;13,70625;500;
00-00001906;Станция Genesis 700 ПР;шт.;1;;;Genesis;;10;;П;800;Genesis;;21000;9500;14500;;1,7;1,35;2,35;5;3,5;5,078877231;9,413877231;;;;;9,37125;13,70625;500;
00-00001907;Станция Genesis 700 L;шт.;1;;;Genesis;;10;;С;1300;Genesis;;24000;9500;14500;;1,7;1,35;2,85;5;3,5;6,003106429;11,18810643;;;;;11,20875;16,39375;800;
00-00001908;Станция Genesis 700 L ПР;шт.;1;;;Genesis;;10;;П;1300;Genesis;;24000;9500;14500;;1,7;1,35;2,85;5;3,5;6,003106429;11,18810643;;;;;11,20875;16,39375;800;
00-00001909;Станция Genesis 1000;шт.;1;241500;193200;Genesis;;15;;С;800;Genesis;106260;24000;10500;15500;;2,1;1,6;2,35;6;5,4;6,433140747;11,43114075;;;;;12,75;17,748;500;
00-00001910;Станция Genesis 1000 ПР;шт.;1;256875;205500;Genesis;;15;;П;800;Genesis;113025;24000;10500;15500;;2,1;1,6;2,35;6;5,4;6,433140747;11,43114075;;;;;12,75;17,748;500;
00-00001911;Станция Genesis 1000 L;шт.;1;;;Genesis;;15;;С;1300;Genesis;;27000;10500;15500;;2,1;1,6;2,85;6;5,4;7,589128139;13,56712814;;;;;15,25;21,228;800;
00-00001912;Станция Genesis 1000 L ПР;шт.;1;;;Genesis;;15;;П;1300;Genesis;;27000;10500;15500;;2,1;1,6;2,85;6;5,4;7,589128139;13,56712814;;;;;15,25;21,228;800;
00-00000397;Станция Топас 4 С 800                                       со скидкой;шт.;1;91200;82080;Топас;;4;;С;800;Топас;63840;15000;7500;12500;;0,95;0,95;2,5;4;1,5;2,6645;6,0125;;;;;4,92075;8,26875;500;
