																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00000448	Станция Коло Веси 5  600                                       со скидкой	шт.	1	129 900	123 405	Коло Веси		5			600	Коло Веси	64 950	16 000	7 500	12 500		1,30	1,30	2,18	4	2,1	3,98	7,60	298,8477065	6	570,1677065	12	6,88	10,50	500	
00-00000449	Станция Коло Веси 5  600 НК                                      со скидкой	шт.	1	134 900	128 155	Коло Веси		5			600	Коло Веси	67 450	16 000	7 500	12 500		1,70	1,70	1,68	5	2,5	4,48	7,94	335,8151128	7	595,2551128	12	8,29	11,75	500	
00-00000454	Станция Коло Веси 5  900                                       со скидкой	шт.	1	136 900	130 055	Коло Веси		5			900	Коло Веси	68 450	17 000	7 500	12 500		1,30	1,30	2,48	4	2,1	4,45	8,53	334,0079413	7	639,5279413	13	7,75	11,82	500	
00-00000458	Станция Коло Веси 5  1200                                       со скидкой	шт.	1	140 400	133 380	Коло Веси		5			1 200	Коло Веси	70 200	19 000	7 500	12 500		1,30	1,30	2,78	4	2,1	4,92	9,45	369,1681762	8	708,8881762	15	8,61	13,14	600	
00-00000450	Станция Коло Веси 8  600                                       со скидкой	шт.	1	139 900	132 905	Коло Веси		8			600	Коло Веси	69 950	18 000	8 500	13 500		1,50	1,50	2,18	4	2,8	4,74	8,74	355,4566506	8	655,3366506	14	8,59	12,59	500	
00-00000451	Станция Коло Веси 8  600 НК                                      со скидкой	шт.	1	144 900	137 655	Коло Веси		8			600	Коло Веси	72 450	18 000	8 500	13 500		1,90	1,90	1,68	5	3,1	5,18	8,94	388,6437914	8	670,6437914	14	9,95	13,71	500	
00-00000455	Станция Коло Веси 8  900                                       со скидкой	шт.	1	146 900	139 555	Коло Веси		8			900	Коло Веси	73 450	19 000	8 500	13 500		1,50	1,50	2,48	4	2,8	5,29	9,79	396,9208686	8	734,6008686	15	9,67	14,18	500	
00-00000459	Станция Коло Веси 8  1200                                       со скидкой	шт.	1	149 700	142 215	Коло Веси		8			1 200	Коло Веси	74 850	21 000	8 500	13 500		1,50	1,50	2,78	4	2,8	5,85	10,85	438,3850866	9	813,8650866	17	10,76	15,76	600	
00-00000452	Станция Коло Веси 10  600                                       со скидкой	шт.	1	149 900	142 405	Коло Веси		10			600	Коло Веси	74 950	21 000	9 500	14 500		1,70	1,70	2,18	5	3,6	5,55	9,93	416,0725868	9	744,5125868	15	10,50	14,88	500	
00-00000456	Станция Коло Веси 10  900                                       со скидкой	шт.	1	156 900	149 055	Коло Веси		10			900	Коло Веси	78 450	22 000	9 500	14 500		1,70	1,70	2,48	5	3,6	6,19	11,12	464,2270712	10	834,0670712	17	11,82	16,75	500	
00-00000460	Станция Коло Веси 10  1200                                       со скидкой	шт.	1	159 800	151 810	Коло Веси		10			1 200	Коло Веси	79 900	24 000	9 500	14 500		1,70	1,70	2,78	5	3,6	6,83	12,31	512,3815557	11	923,6215557	19	13,14	18,63	600	
00-00000461	Станция Коло Веси 15  600                                       со скидкой	шт.	1	199 600	189 620	Коло Веси		15			600	Коло Веси	99 800	24 000	10 500	15 500		2,00	2,00	2,18	6	5	6,86	11,81	514,5096011	11	885,7896011	18	13,71	18,66	500	
00-00000462	Станция Коло Веси 20  600                                       со скидкой	шт.	1	249 000	236 550	Коло Веси		20			600	Коло Веси	124 500	26 000	11 500	16 500		2,00	2,00	2,68	6	6,5	8,17	14,16	612,6998766	13	1061,979877	22	16,59	22,58	500	
00-00001978	Станция Тверь-0,35П (2 С 320)	шт.	1	64 900	64 900	Тверь-	0,35	2			320	Тверь до 1м3	53 218	14 000	7 500	12 500		1,40	1,10	1,67	5	1,6632	2,33	4,89					4,26	6,82	500	0,14
00-00001979	Станция Тверь-0,35ПН (2 П 320)	шт.	1	71 100	71 100	Тверь-	0,35	2		Н	320	Тверь до 1м3	58 302	14 000	7 500	12 500		1,80	1,10	1,67	5	2,2572	2,76	5,62					5,39	8,24	500	0,14
00-00001980	Станция Тверь-0,5П (3 С 320)	шт.	1	72 000	72 000	Тверь-	0,5	3			320	Тверь до 1м3	59 040	14 000	7 500	12 500		1,65	1,10	1,67	5	2,03445	2,60	5,34					4,96	7,71	500	0,14
00-00001981	Станция Тверь-0,5ПН (3 П 320)	шт.	1	79 900	79 900	Тверь-	0,5	3		Н	320	Тверь до 1м3	65 518	14 000	7 500	12 500		2,10	1,10	1,67	6	2,7027	3,08	6,17					6,23	9,31	500	0,14
00-00001982	Станция Тверь-0,5ПМ (3 С 620)	шт.	1	83 900	83 900	Тверь-	0,5	3			620	Тверь до 1м3	68 798	15 000	7 500	12 500		1,65	1,10	1,97	5	2,03445	2,94	6,13					5,76	8,95	500	0,14
00-00001983	Станция Тверь-0,5ПНМ (3 П 620)	шт.	1	92 000	92 000	Тверь-	0,5	3		Н	620	Тверь до 1м3	75 440	15 000	7 500	12 500		2,10	1,10	1,97	6	2,7027	3,48	7,06					7,23	10,80	500	0,14
00-00001984	Станция Тверь-0,5НП (3 С 1020)	шт.	1	79 900	79 900	Тверь-	0,5	3	Н		1020	Тверь до 1м3	65 518	14 000	9 500	14 500		2,10	1,10	1,67	6	2,7027	3,08	6,17					6,23	9,31	500	0,14
00-00001985	Станция Тверь-0,5НПМ (3 С 1320)	шт.	1	92 000	92 000	Тверь-	0,5	3	Н		1320	Тверь до 1м3	75 440	15 000	9 500	14 500		2,10	1,10	1,97	6	2,7027	3,48	7,06					7,23	10,80	700	0,14
00-00001986	Станция Тверь-0,5НПН (3 П 1020)	шт.	1	87 800	87 800	Тверь-	0,5	3	Н	Н	1020	Тверь до 1м3	71 996	14 000	9 500	14 500		2,50	1,10	1,67	6	3,2967	3,52	6,90					7,35	10,73	500	0,14
00-00001987	Станция Тверь-0,5НПНМ (3 П 1320)	шт.	1	100 100	100 100	Тверь-	0,5	3	Н	Н	1320	Тверь до 1м3	82 082	15 000	9 500	14 500		2,50	1,10	1,97	6	3,2967	3,96	7,88					8,53	12,45	700	0,14
00-00001988	Станция Тверь-0,75П (4 С 320)	шт.	1	82 900	82 900	Тверь-	0,75	4			320	Тверь до 1м3	67 978	14 000	7 500	12 500		1,90	1,10	1,67	5	2,376	2,85	5,76					5,61	8,53	500	0,15
00-00001989	Станция Тверь-0,75ПН (4 П 320)	шт.	1	92 300	92 300	Тверь-	0,75	4		Н	320	Тверь до 1м3	75 686	14 000	7 500	12 500		2,30	1,10	1,67	6	2,97	3,28	6,49					6,73	9,95	500	0,15
00-00001990	Станция Тверь-0,75ПМ (4 С 620)	шт.	1	99 300	99 300	Тверь-	0,75	4			620	Тверь до 1м3	81 426	15 000	7 500	12 500		1,90	1,10	1,97	5	2,376	3,22	6,60					6,51	9,90	500	0,15
00-00001991	Станция Тверь-0,75ПНМ (4 П 620)	шт.	1	110 500	110 500	Тверь-	0,75	4		Н	620	Тверь до 1м3	90 610	15 000	7 500	12 500		2,30	1,10	1,97	6	2,97	3,70	7,43					7,81	11,54	500	0,15
00-00001992	Станция Тверь-0,75НП (4 С 1020)	шт.	1	92 300	92 300	Тверь-	0,75	4	Н		1020	Тверь до 1м3	75 686	14 000	9 500	14 500		2,30	1,10	1,67	6	2,97	3,28	6,49					6,73	9,95	500	0,15
00-00001993	Станция Тверь-0,75НПМ (4 С 1320)	шт.	1	110 500	110 500	Тверь-	0,75	4	Н		1320	Тверь до 1м3	90 610	15 000	9 500	14 500		2,30	1,10	1,97	6	2,97	3,70	7,43					7,81	11,54	700	0,15
00-00001994	Станция Тверь-0,75НПН (4 П 1020)	шт.	1	101 700	101 700	Тверь-	0,75	4	Н	Н	1020	Тверь до 1м3	83 394	14 000	9 500	14 500		2,70	1,10	1,67	7	3,564	3,71	7,22					7,85	11,37	500	0,15
00-00001995	Станция Тверь-0,75НПНМ (4 П 1320)	шт.	1	120 000	120 000	Тверь-	0,75	4	Н	Н	1320	Тверь до 1м3	98 400	15 000	9 500	14 500		2,70	1,10	1,97	7	3,564	4,18	8,26					9,11	13,19	700	0,15
00-00001996	Станция Тверь-0,85П (5 С 320)	шт.	1	89 800	89 800	Тверь-	0,85	5			320	Тверь до 1м3	73 636	16 000	7 500	12 500		2,15	1,10	1,67	6	2,74725	3,12	6,22					6,31	9,42	500	0,15
00-00001997	Станция Тверь-0,85ПН (5 П 320)	шт.	1	99 200	99 200	Тверь-	0,85	5		Н	320	Тверь до 1м3	81 344	16 000	7 500	12 500		2,60	1,10	1,67	7	3,4155	3,60	7,04					7,57	11,01	500	0,15
00-00001998	Станция Тверь-0,85ПМ (5 С 620)	шт.	1	110 900	110 900	Тверь-	0,85	5			620	Тверь до 1м3	90 938	17 000	7 500	12 500		2,15	1,10	1,97	6	2,74725	3,52	7,12					7,32	10,93	500	0,15
00-00001999	Станция Тверь-0,85ПНМ (5 П 620)	шт.	1	121 900	121 900	Тверь-	0,85	5		Н	620	Тверь до 1м3	99 958	17 000	7 500	12 500		2,60	1,10	1,97	7	3,4155	4,06	8,05					8,79	12,78	500	0,15
00-00002000	Станция Тверь-0,85НП (5 С 1020)	шт.	1	99 200	99 200	Тверь-	0,85	5	Н		1020	Тверь до 1м3	81 344	16 000	9 500	14 500		2,60	1,10	1,67	7	3,4155	3,60	7,04					7,57	11,01	500	0,15
00-00002001	Станция Тверь-0,85НПМ (5 С 1320)	шт.	1	121 900	121 900	Тверь-	0,85	5	Н		1320	Тверь до 1м3	99 958	17 000	9 500	14 500		2,60	1,10	1,97	7	3,4155	4,06	8,05					8,79	12,78	700	0,15
00-00002002	Станция Тверь-0,85НПН (5 П 1020)	шт.	1	109 700	109 700	Тверь-	0,85	5	Н	Н	1020	Тверь до 1м3	89 954	16 000	9 500	14 500		3,00	1,10	1,67	7	4,0095	4,03	7,77					8,70	12,44	500	0,15
#Н/Д	Станция Тверь-0,85НПН +0,2м (5 П 1220)	шт.	1	115 700	115 700	Тверь-	0,85	5	Н	Н	1220	Тверь до 1м3	94 874	16 500	9 500	14 500		3,00	1,10	1,87	7	4,0095	4,37	8,51					9,63	13,77	600	0,15
00-00002003	Станция Тверь-0,85НПНМ (5 П 1320)	шт.	1	133 800	133 800	Тверь-	0,85	5	Н	Н	1320	Тверь до 1м3	109 716	17 000	9 500	14 500		3,00	1,10	1,97	7	4,0095	4,54	8,88					10,09	14,43	700	0,15
00-00002004	Станция Тверь-1П (6 С 320)	шт.	1	102 800	102 800	Тверь-	1	6			320	Тверь сверх 1 м3	79 156	16 000	7 500	12 500		2,60	1,10	1,67	7	3,1185	3,67	6,68					7,29	10,30	500	0,25
00-00002005	Станция Тверь-1ПН (6 П 320)	шт.	1	112 300	112 300	Тверь-	1	6		Н	320	Тверь сверх 1 м3	86 471	16 000	7 500	12 500		3,00	1,10	1,67	7	3,7125	4,10	7,41					8,42	11,72	500	0,25
00-00002006	Станция Тверь-1ПМ (6 С 620)	шт.	1	117 600	117 600	Тверь-	1	6			620	Тверь сверх 1 м3	90 552	17 000	7 500	12 500		2,60	1,10	1,97	7	3,1185	4,14	7,64					8,46	11,96	500	0,25
00-00002007	Станция Тверь-1ПНМ (6 П 620)	шт.	1	128 400	128 400	Тверь-	1	6		Н	620	Тверь сверх 1 м3	98 868	17 000	7 500	12 500		3,00	1,10	1,97	7	3,7125	4,62	8,46					9,77	13,61	500	0,25
#Н/Д	Станция Тверь-1ПНМ +0,2м (6 П 820)	шт.	1	134 400	134 400	Тверь-	1	6		Н	820	Тверь сверх 1 м3	103 488	17 500	7 500	12 500		3,00	1,10	2,17	7	3,7125	4,97	9,17					10,67	14,86	500	0,25
00-00002008	Станция Тверь-1НП (6 С 1020)	шт.	1	112 300	112 300	Тверь-	1	6	Н		1020	Тверь сверх 1 м3	86 471	16 000	9 500	14 500		3,00	1,10	1,67	7	3,7125	4,10	7,41					8,42	11,72	500	0,25
00-00002009	Станция Тверь-1НПМ (6 С 1320)	шт.	1	128 400	128 400	Тверь-	1	6	Н		1320	Тверь сверх 1 м3	98 868	17 000	9 500	14 500		3,00	1,10	1,97	7	3,7125	4,62	8,46					9,77	13,61	700	0,25
00-00002010	Станция Тверь-1НПН (6 П 1020)	шт.	1	121 800	121 800	Тверь-	1	6	Н	Н	1020	Тверь сверх 1 м3	93 786	16 000	9 500	14 500		3,40	1,10	1,67	8	4,3065	4,53	8,14					9,54	13,15	500	0,25
00-00002011	Станция Тверь-1НПНМ (6 П 1320)	шт.	1	140 400	140 400	Тверь-	1	6	Н	Н	1320	Тверь сверх 1 м3	108 108	17 000	9 500	14 500		3,40	1,10	1,97	8	4,3065	5,10	9,29					11,07	15,26	700	0,25
00-00002012	Станция Тверь-1,2П (7 С 320)	шт.	1	111 000	111 000	Тверь-	1,2	7			320	Тверь сверх 1 м3	85 470	18 000	8 500	13 500		2,80	1,10	1,67	7	3,4155	3,88	7,04					7,85	11,01	500	0,25
00-00002013	Станция Тверь-1,2ПН (7 П 320)	шт.	1	121 000	121 000	Тверь-	1,2	7		Н	320	Тверь сверх 1 м3	93 170	18 000	8 500	13 500		3,20	1,10	1,67	8	4,0095	4,31	7,77					8,98	12,44	500	0,25
00-00002014	Станция Тверь-1,2ПМ (7 С 620)	шт.	1	127 000	127 000	Тверь-	1,2	7			620	Тверь сверх 1 м3	97 790	19 000	8 500	13 500		2,80	1,10	1,97	7	3,4155	4,38	8,05					9,11	12,78	500	0,25
00-00002015	Станция Тверь-1,2ПНМ (7 П 620)	шт.	1	137 500	137 500	Тверь-	1,2	7		Н	620	Тверь сверх 1 м3	105 875	19 000	8 500	13 500		3,20	1,10	1,97	8	4,0095	4,86	8,88					10,42	14,43	500	0,25
00-00002016	Станция Тверь-1,2НП (7 С 1020)	шт.	1	121 000	121 000	Тверь-	1,2	7	Н		1020	Тверь сверх 1 м3	93 170	18 000	10 500	15 500		3,20	1,10	1,67	8	4,0095	4,31	7,77					8,98	12,44	500	0,25
00-00002017	Станция Тверь-1,2НПМ (7 С 1320)	шт.	1	137 500	137 500	Тверь-	1,2	7	Н		1320	Тверь сверх 1 м3	105 875	19 000	10 500	15 500		3,20	1,10	1,97	8	4,0095	4,86	8,88					10,42	14,43	700	0,25
00-00002018	Станция Тверь-1,2НПН (7 П 1020)	шт.	1	131 000	131 000	Тверь-	1,2	7	Н	Н	1020	Тверь сверх 1 м3	100 870	18 000	10 500	15 500		3,60	1,10	1,67	8	4,6035	4,74	8,50					10,10	13,86	500	0,25
00-00002019	Станция Тверь-1,2НПНМ (7 П 1320)	шт.	1	148 500	148 500	Тверь-	1,2	7	Н	Н	1320	Тверь сверх 1 м3	114 345	19 000	10 500	15 500		3,60	1,10	1,97	8	4,6035	5,34	9,70					11,72	16,08	700	0,25
00-00002020	Станция Тверь-1,5П (9 С 320)	шт.	1	125 000	125 000	Тверь-	1,5	9			320	Тверь сверх 1 м3	96 250	19 500	9 500	14 500		3,40	1,10	1,67	8	4,3065	4,53	8,14					9,54	13,15	500	0,25
00-00002021	Станция Тверь-1,5ПН (9 П 320)	шт.	1	136 600	136 600	Тверь-	1,5	9		Н	320	Тверь сверх 1 м3	105 182	19 500	9 500	14 500		3,85	1,10	1,67	9	4,97475	5,01	8,96					10,80	14,74	500	0,25
00-00002022	Станция Тверь-1,5ПМ (9 С 620)	шт.	1	143 600	143 600	Тверь-	1,5	9			620	Тверь сверх 1 м3	110 572	20 500	9 500	14 500		3,40	1,10	1,97	8	4,3065	5,10	9,29					11,07	15,26	500	0,25
00-00002023	Станция Тверь-1,5ПНМ (9 П 620)	шт.	1	154 400	154 400	Тверь-	1,5	9		Н	620	Тверь сверх 1 м3	118 888	20 500	9 500	14 500		3,85	1,10	1,97	9	4,97475	5,64	10,22					12,53	17,11	500	0,25
00-00002024	Станция Тверь-1,5НП (9 С 1020)	шт.	1	136 600	136 600	Тверь-	1,5	9	Н		1020	Тверь сверх 1 м3	105 182	19 500	11 500	16 500		3,85	1,10	1,67	9	4,97475	5,01	8,96					10,80	14,74	500	0,25
00-00002025	Станция Тверь-1,5НПМ (9 С 1320)	шт.	1	154 400	154 400	Тверь-	1,5	9	Н		1320	Тверь сверх 1 м3	118 888	20 500	11 500	16 500		3,85	1,10	1,97	9	4,97475	5,64	10,22					12,53	17,11	700	0,25
00-00002026	Станция Тверь-1,5НПН (9 П 1020)	шт.	1	148 200	148 200	Тверь-	1,5	9	Н	Н	1020	Тверь сверх 1 м3	114 114	19 500	11 500	16 500		4,30	1,10	1,67	9	5,643	5,50	9,78					12,06	16,34	500	0,25
00-00002027	Станция Тверь-1,5НПНМ (9 П 1320)	шт.	1	165 400	165 400	Тверь-	1,5	9	Н	Н	1320	Тверь сверх 1 м3	127 358	20 500	11 500	16 500		4,30	1,10	1,97	9	5,643	6,18	11,15					14,00	18,97	700	0,25
00-00002028	Станция Тверь-2П (12 С 320)	шт.	1	156 900	156 900	Тверь-	2	12			320	Тверь сверх 1 м3	120 813	22 000	10 000	15 000		4,00	1,30	1,67	9	6,1425	5,57	9,74					12,72	16,89	500	0,25
00-00002029	Станция Тверь-2ПН (12 П 320)	шт.	1	168 100	168 100	Тверь-	2	12		Н	320	Тверь сверх 1 м3	129 437	22 000	10 000	15 000		4,50	1,30	1,67	10	7,02	6,14	10,69					14,31	18,85	500	0,25
00-00002030	Станция Тверь-2ПМ (12 С 620)	шт.	1	167 600	167 600	Тверь-	2	12			620	Тверь сверх 1 м3	129 052	23 000	10 000	15 000		4,00	1,30	1,97	9	6,1425	6,25	11,09					14,76	19,60	500	0,25
00-00002031	Станция Тверь-2ПНМ (12 П 620)	шт.	1	179 400	179 400	Тверь-	2	12		Н	620	Тверь сверх 1 м3	138 138	23 000	10 000	15 000		4,50	1,30	1,97	10	7,02	6,88	12,15					16,60	21,87	500	0,25
00-00002032	Станция Тверь-2НП (12 С 1020)	шт.	1	168 100	168 100	Тверь-	2	12	Н		1020	Тверь сверх 1 м3	129 437	22 000	12 000	17 000		4,50	1,30	1,67	10	7,02	6,14	10,69					14,31	18,85	500	0,25
00-00002033	Станция Тверь-2НПМ (12 С 1320)	шт.	1	179 400	179 400	Тверь-	2	12	Н		1320	Тверь сверх 1 м3	138 138	23 000	12 000	17 000		4,50	1,30	1,97	10	7,02	6,88	12,15					16,60	21,87	700	0,25
00-00002034	Станция Тверь-2НПН (12 П 1020)	шт.	1	179 300	179 300	Тверь-	2	12	Н	Н	1020	Тверь сверх 1 м3	138 061	22 000	12 000	17 000		4,85	1,30	1,67	11	7,63425	6,54	11,35					15,42	20,22	500	0,25
00-00002035	Станция Тверь-2НПНМ (12 П 1320)	шт.	1	190 600	190 600	Тверь-	2	12	Н	Н	1320	Тверь сверх 1 м3	146 762	23 000	12 000	17 000		4,85	1,30	1,97	11	7,63425	7,32	12,89					17,89	23,47	700	0,25
00-00002036	Станция Тверь-3П (18 С 320)	шт.	1	176 900	176 900	Тверь-	3	18			320	Тверь сверх 1 м3	136 213	25 000	11 000	16 000		4,00	1,60	1,67	10	7,56	6,17	10,51					14,96	19,30	500	0,25
00-00002037	Станция Тверь-3ПН (18 П 320)	шт.	1	188 100	188 100	Тверь-	3	18		Н	320	Тверь сверх 1 м3	144 837	25 000	11 000	16 000		4,50	1,60	1,67	11	8,64	6,78	11,49					16,83	21,54	500	0,25
00-00002038	Станция Тверь-3ПМ (18 С 620)	шт.	1	191 600	191 600	Тверь-	3	18			620	Тверь сверх 1 м3	147 532	26 000	11 000	16 000		4,00	1,60	1,97	10	7,56	6,89	11,92					17,36	22,39	500	0,25
00-00002039	Станция Тверь-3ПНМ (18 П 620)	шт.	1	200 400	200 400	Тверь-	3	18		Н	620	Тверь сверх 1 м3	154 308	26 000	11 000	16 000		4,50	1,60	1,97	11	8,64	7,56	13,03					19,53	25,00	500	0,25
00-00002040	Станция Тверь-3НП (18 С 1020)	шт.	1	188 100	188 100	Тверь-	3	18	Н		1020	Тверь сверх 1 м3	144 837	25 000	13 000	18 000		4,50	1,60	1,67	11	8,64	6,78	11,49					16,83	21,54	500	0,25
00-00002041	Станция Тверь-3НПМ (18 С 1320)	шт.	1	200 400	200 400	Тверь-	3	18	Н		1320	Тверь сверх 1 м3	154 308	26 000	13 000	18 000		4,50	1,60	1,97	11	8,64	7,56	13,03					19,53	25,00	700	0,25
00-00002042	Станция Тверь-3НПН (18 П 1020)	шт.	1	199 300	199 300	Тверь-	3	18	Н	Н	1020	Тверь сверх 1 м3	153 461	25 000	13 000	18 000		5,00	1,60	1,67	11	9,72	7,40	12,48					18,70	23,79	500	0,25
00-00002043	Станция Тверь-3НПНМ (18 П 1320)	шт.	1	211 600	211 600	Тверь-	3	18	Н	Н	1320	Тверь сверх 1 м3	162 932	26 000	13 000	18 000		5,00	1,60	1,97	11	9,72	8,24	14,14					21,70	27,60	700	0,25
00-00002044	Септик Росток Мини	шт.	1	25 900	25 900	Росток		Мини				Росток	18 130	12 000			3 000	1,28	1,10	1,64	2	1	2,82	5,31					4,37	6,86	500	
00-00002045	Септик Росток Дачный	шт.	1	31 900	31 900	Росток		Дачный				Росток	22 330	14 000			3 000	1,68	1,11	1,72	3	1,5	3,71	6,61					5,73	8,63	500	
00-00000467	Септик Росток Загородный	шт.	1	46 900	46 900	Росток		Загородный				Росток	32 830	16 000			5 000	2,22	1,31	1,88	5	2,4	5,50	9,24					8,84	12,58	500	
00-00002046	Септик Росток Коттеджный	шт.	1	55 900	55 900	Росток		Коттеджный				Росток	39 130	19 000			5 000	2,36	1,44	1,97	5	3	6,32	10,45					10,49	14,63	500	
00-00002047	Биофильтр Росток плюс	шт.	1	33 000	33 000	Росток						Росток	23 100	14 000			3 000	1,68	1,11	1,72	3	1	3,71	6,61					5,73	8,63	500	
00-00002048	Септик Термит Профи накопитель 1.2	шт.	1	18 000	18 000	Термит Профи накопитель						Термит	12 600	12 000			3 000	1,34	1,16	1,57	3	1,2	2,85	5,31	569,1343125	12	1061,974312	22	4,52	6,98	500	
00-00002049	Септик Термит Профи 1.2	шт.	1	21 500	21 500	Термит Профи	0,4	2				Термит	15 050	12 000			3 000	1,34	1,16	1,57	3	1,2	2,85	5,31	569,1343125	12	1061,974312	22	4,52	6,98	500	
00-00002050	Септик Термит Профи накопитель 2.0	шт.	1	24 000	24 000	Термит Профи накопитель						Термит	16 800	16 000			3 000	1,60	1,16	2,00	3	2	4,31	7,62	861,192035	18	1524,792035	31	6,51	9,83	500	
00-00002051	Септик Термит Профи 2.0	шт.	1	29 900	29 900	Термит Профи	0,8	4				Термит	20 930	16 000			3 000	1,60	1,16	2,00	3	2	4,31	7,62	861,192035	18	1524,792035	31	6,51	9,83	500	
00-00002052	Септик Термит Профи накопитель 2.5	шт.	1	30 100	30 100	Термит Профи накопитель						Термит	21 070	18 000			5 000	2,00	1,16	2,01	4	2,5	5,22	8,89	1043,926359	21	1777,308359	36	7,86	11,52	500	
00-00002053	Септик Термит Профи 2.5	шт.	1	36 000	36 000	Термит Профи	1	5				Термит	25 200	18 000			5 000	2,00	1,16	2,01	4	2,5	5,22	8,89	1043,926359	21	1777,308359	36	7,86	11,52	500	
00-00002054	Септик Термит Профи накопитель 3.0	шт.	1	37 000	37 000	Термит Профи накопитель						Термит	25 900	19 000			5 000	2,30	1,16	1,91	4	3	5,53	9,26	1106,211862	23	1852,873862	38	8,42	12,15	500	
00-00002055	Септик Термит Профи 3.0	шт.	1	43 000	43 000	Термит Профи	1,2	6				Термит	30 100	19 000			5 000	2,30	1,16	1,91	4	3	5,53	9,26	1106,211862	23	1852,873862	38	8,42	12,15	500	
00-00002056	Септик Термит Профи накопитель 3.5	шт.	1	40 900	40 900	Термит Профи накопитель						Термит	28 630	21 000			7 000	2,41	1,19	2,01	4	3,5	6,21	10,25	1241,208253	25	2049,528253	41	9,40	13,45	500	
00-00002057	Септик Термит Профи 3.5	шт.	1	47 900	47 900	Термит Профи	1,8	7				Термит	33 530	21 000			7 000	2,41	1,19	2,01	4	3,5	6,21	10,25	1241,208253	25	2049,528253	41	9,40	13,45	500	
00-00002058	Септик Термит Профи накопитель 5.5	шт.	1	58 900	58 900	Термит Профи накопитель						Термит	41 230	25 000			7 000	2,22	1,65	2,40	6	5,5	8,18	13,24	1635,95785	33	2647,92985	53	13,40	18,46	500	
00-00002059	Септик Термит Профи 5.5	шт.	1	69 000	69 000	Термит Профи	2,2	12				Термит	48 300	25 000			7 000	2,22	1,65	2,40	6	5,5	8,18	13,24	1635,95785	33	2647,92985	53	13,40	18,46	500	
00-00002060	Септик Термит Трансформер 1.3 S	шт.	1	26 000	26 000	Термит Трансформер	0,5	2				Термит	18 200	14 000			3 000	2,00	0,79	1,56	3	1,3	3,25	5,89	649,8006398	13	1177,41464	24	4,71	7,34	500	
00-00002061	Септик Термит Трансформер 1.3 PR	шт.	1	31 900	31 900	Термит Трансформер	0,5	2		П		Термит	22 330	14 000			3 000	2,00	0,79	1,56	3	1,3	3,25	5,89	649,8006398	13	1177,41464	24	4,71	7,34	500	
00-00002062	Септик Термит Трансформер 1.5 S	шт.	1	28 900	28 900	Термит Трансформер	0,6	3				Термит	20 230	16 000			3 000	2,00	0,80	2,00	3	1,5	4,28	7,64	855,8566672	18	1527,856667	31	6,05	9,41	500	
00-00002063	Септик Термит Трансформер 1.5 PR	шт.	1	34 600	34 600	Термит Трансформер	0,6	3		П		Термит	24 220	16 000			3 000	2,00	0,80	2,00	3	1,5	4,28	7,64	855,8566672	18	1527,856667	31	6,05	9,41	500	
00-00002064	Септик Термит Трансформер 2.0 S	шт.	1	34 000	34 000	Термит Трансформер	0,8	4				Термит	23 800	16 000			3 000	2,00	1,00	2,10	3	2	5,12	8,82	1024,282782	21	1763,482782	36	7,39	11,09	500	
00-00002065	Септик Термит Трансформер 2.0 PR	шт.	1	39 400	39 400	Термит Трансформер	0,8	4		П		Термит	27 580	16 000			3 000	2,00	1,00	2,10	3	2	5,12	8,82	1024,282782	21	1763,482782	36	7,39	11,09	500	
00-00002066	Септик Термит Трансформер 2.5 S	шт.	1	39 900	39 900	Термит Трансформер	1	5				Термит	27 930	18 000			5 000	2,05	1,05	2,11	3	2,5	5,40	9,20	1080,316823	22	1840,556823	37	7,85	11,65	500	
00-00002067	Септик Термит Трансформер 2.5 PR	шт.	1	45 700	45 700	Термит Трансформер	1	5		П		Термит	31 990	18 000			5 000	2,05	1,05	2,11	3	2,5	5,40	9,20	1080,316823	22	1840,556823	37	7,85	11,65	500	
00-00002068	Септик Термит Трансформер 3.0 S	шт.	1	46 900	46 900	Термит Трансформер	1,2	6				Термит	32 830	19 000			5 000	2,19	1,20	2,07	4	3	5,96	9,95	1192,435653	24	1989,259653	40	8,99	12,98	500	
00-00002069	Септик Термит Трансформер 3.0 PR	шт.	1	52 500	52 500	Термит Трансформер	1,2	6		П		Термит	36 750	19 000			5 000	2,19	1,20	2,07	4	3	5,96	9,95	1192,435653	24	1989,259653	40	8,99	12,98	500	
00-00002070	Станция Ergobox  3 S 	шт.	1	55 000	55 000	Ergobox	0,5	3			900	Ergobox	38 500	14 000	7 500	12 500		1,56	0,79	2,00	2	1,3427425	2,78	5,76	556,905	12	1151,625	24	4,87	7,84	500	
00-00002071	Станция Ergobox  3 PR в комплекте с сигнализацией	шт.	1	60 800	60 800	Ergobox	0,5	3			900	Ergobox	42 560	14 000	7 500	12 500		1,56	0,79	2,00	2	1,3427425	2,78	5,76	556,905	12	1151,625	24	4,87	7,84	500	
