																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00001907	Станция Genesis 700 L	шт.	1			Genesis		10		С	1 300	Genesis		24 000	9 500	14 500		1,70	1,35	2,85	5	3,5	6,00	11,19					11,21	16,39	800	
00-00001908	Станция Genesis 700 L ПР	шт.	1			Genesis		10		П	1 300	Genesis		24 000	9 500	14 500		1,70	1,35	2,85	5	3,5	6,00	11,19					11,21	16,39	800	
00-00001909	Станция Genesis 1000	шт.	1	241 500	193 200	Genesis		15		С	800	Genesis	106 260	24 000	10 500	15 500		2,10	1,60	2,35	6	5,4	6,43	11,43					12,75	17,75	500	
00-00001910	Станция Genesis 1000 ПР	шт.	1	256 875	205 500	Genesis		15		П	800	Genesis	113 025	24 000	10 500	15 500		2,10	1,60	2,35	6	5,4	6,43	11,43					12,75	17,75	500	
00-00001911	Станция Genesis 1000 L	шт.	1			Genesis		15		С	1 300	Genesis		27 000	10 500	15 500		2,10	1,60	2,85	6	5,4	7,59	13,57					15,25	21,23	800	
00-00001912	Станция Genesis 1000 L ПР	шт.	1			Genesis		15		П	1 300	Genesis		27 000	10 500	15 500		2,10	1,60	2,85	6	5,4	7,59	13,57					15,25	21,23	800	
00-00000397	Станция Топас 4 С 800                                       со скидкой	шт.	1	91 200	82 080	Топас		4		С	800	Топас	63 840	15 000	7 500	12 500		0,95	0,95	2,50	4	1,5	2,66	6,01					4,92	8,27	500	
00-00000398	Станция Топас 4 П 800                                       со скидкой	шт.	1	100 800	90 720	Топас		4		П	800	Топас	70 560	15 000	7 500	12 500		0,95	0,95	2,50	4	1,5	2,66	6,01					4,92	8,27	500	
00-00000399	Станция Топас 5 С 800                                       со скидкой	шт.	1	102 900	92 610	Топас		5		С	800	Топас	72 030	16 000	7 500	12 500		1,10	1,20	2,50	4	2,2	3,18	6,96					6,48	10,26	500	
00-00000400	Станция Топас 5 П 800                                       со скидкой	шт.	1	113 300	101 970	Топас		5		П	800	Топас	79 310	16 000	7 500	12 500		1,00	1,20	2,60	4	2,2	3,15	6,96					6,27	10,08	500	
00-00000401	Станция Топас 5 С 1400                                       со скидкой	шт.	1	127 300	114 570	Топас		5		С	1 400	Топас	89 110	19 000	7 500	12 500		1,10	1,20	3,10	4	2,2	3,83	8,45					7,92	12,54	800	
00-00000402	Станция Топас 5 П 1400                                       со скидкой	шт.	1	141 500	127 350	Топас		5		П	1 400	Топас	99 050	19 000	7 500	12 500		1,10	1,20	3,10	4	2,2	3,83	8,45					7,92	12,54	800	
00-00000403	Станция Топас 6 С 800                                       со скидкой	шт.	1	106 600	95 940	Топас		6		С	800	Топас	74 620	16 000	7 500	12 500		1,20	1,20	2,55	4	2,5	3,37	7,33					7,04	11,00	500	
00-00000404	Станция Топас 6 П 800                                       со скидкой	шт.	1	117 600	105 840	Топас		6		П	800	Топас	82 320	16 000	7 500	12 500		1,10	1,20	2,60	4	2,4	3,29	7,21					6,72	10,64	500	
